object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
33383,1594.0,bc_004-bc_040-bc_041-bc_048-bc_093,"['bc_004', 'bc_040', 'bc_041', 'bc_048']",0.0,9.0,2.0,1.0,1.0,13.0,4
33406,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_006', 'bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",7.0,13.0,19.0,12.0,15.0,66.0,5
33435,1096.0,bc_004-bc_040-bc_041-bc_048-bc_052-bc_092-bc_093,"['bc_004', 'bc_016', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_093']",8.0,15.0,21.0,0.0,10.0,54.0,4
33441,2642.0,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",3.0,14.0,10.0,7.0,17.0,51.0,5
33482,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",4.0,16.0,16.0,9.0,13.0,58.0,5
33484,355.0,bc_040-bc_048-bc_052-bc_060-bc_092-bc_093,"['bc_004', 'bc_040', 'bc_048', 'bc_052', 'bc_093']",0.0,12.0,5.0,0.0,22.0,39.0,3
33494,2784.0,bc_040-bc_048-bc_052-bc_060-bc_092,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092']",0.0,7.0,6.0,6.0,0.0,19.0,3
33515,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",4.0,21.0,26.0,22.0,37.0,110.0,5
33547,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_060', 'bc_093']",0.0,13.0,10.0,0.0,8.0,31.0,3
33549,898.0,bc_016-bc_040-bc_093,"['bc_016', 'bc_040', 'bc_041', 'bc_093']",9.0,28.0,2.0,1.0,13.0,53.0,5
33563,919.0,bc_004-bc_041-bc_048-bc_060,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_060', 'bc_077', 'bc_092']",1.0,8.0,0.0,5.0,2.0,16.0,4
