object_id,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
31084,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",4.0,16.0,13.0,20.0,12.0,65.0,5
31086,360.0,bc_024,['bc_024'],0.0,1.0,1.0,0.0,1.0,3.0,3
31099,404.0,bc_001-bc_024-bc_029-bc_031-bc_087,"['bc_001', 'bc_009', 'bc_024', 'bc_031', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31113,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048']",0.0,0.0,0.0,0.0,0.0,0.0,0
31133,72.0,bc_001-bc_029-bc_031-bc_087,"['bc_031', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31149,3176.0,bc_001-bc_029-bc_031-bc_087,"['bc_001', 'bc_009', 'bc_029', 'bc_031']",0.0,0.0,0.0,0.0,0.0,0.0,0
31154,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31173,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31174,1426.0,bc_001-bc_024-bc_029-bc_087,"['bc_001', 'bc_009', 'bc_010', 'bc_024', 'bc_029', 'bc_031', 'bc_087']",0.0,1.0,0.0,0.0,0.0,1.0,1
31187,648.0,bc_009,"['bc_009', 'bc_048']",0.0,0.0,0.0,0.0,0.0,0.0,0
31201,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_024', 'bc_048', 'bc_060']",0.0,1.0,0.0,0.0,0.0,1.0,1
31215,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060']",0.0,1.0,0.0,0.0,0.0,1.0,1
31252,539.0,bc_010-bc_048-bc_066,"['bc_009', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31262,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048', 'bc_052', 'bc_060']",1.0,1.0,3.0,2.0,2.0,9.0,5
31268,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
31272,360.0,bc_024,"['bc_024', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31285,211.0,bc_010-bc_066,"['bc_009', 'bc_010', 'bc_066']",0.0,0.0,0.0,0.0,1.0,1.0,1
31288,211.0,bc_010-bc_066,"['bc_010', 'bc_066', 'bc_087']",0.0,0.0,1.0,0.0,0.0,1.0,1
31300,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31312,324.0,bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31313,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31334,648.0,bc_009,"['bc_009', 'bc_024', 'bc_031', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31344,648.0,bc_009,"['bc_009', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31351,242.0,bc_009,"['bc_009', 'bc_040']",0.0,5.0,0.0,2.0,0.0,7.0,2
31360,428.0,bc_024-bc_035-bc_048,"['bc_024', 'bc_035', 'bc_048', 'bc_060']",0.0,0.0,2.0,0.0,2.0,4.0,2
31399,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31404,1357.0,bc_010-bc_024-bc_031-bc_066-bc_087,"['bc_006', 'bc_010', 'bc_022', 'bc_024', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31409,780.0,bc_024,"['bc_001', 'bc_006', 'bc_010', 'bc_024', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31426,648.0,bc_009,"['bc_009', 'bc_022', 'bc_048']",0.0,0.0,0.0,0.0,0.0,0.0,0
31430,1686.0,bc_009-bc_010-bc_066,"['bc_009', 'bc_010', 'bc_024', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31444,211.0,bc_010-bc_066,"['bc_010', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31476,31.0,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_016', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",8.0,25.0,20.0,8.0,27.0,88.0,5
31522,1357.0,bc_010-bc_024-bc_031-bc_066-bc_087,"['bc_001', 'bc_024', 'bc_031', 'bc_048', 'bc_066', 'bc_087']",0.0,0.0,1.0,0.0,0.0,1.0,1
31523,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31530,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0
31536,165.0,bc_024-bc_048-bc_060,"['bc_001', 'bc_024', 'bc_048', 'bc_060', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31550,648.0,bc_009,"['bc_009', 'bc_010', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31579,72.0,bc_001-bc_029-bc_031-bc_087,"['bc_001', 'bc_024', 'bc_029', 'bc_031', 'bc_087']",0.0,0.0,0.0,0.0,1.0,1.0,1
31628,1426.0,bc_001-bc_024-bc_029-bc_087,"['bc_024', 'bc_029', 'bc_052', 'bc_087']",2.0,1.0,3.0,0.0,1.0,7.0,4
31638,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0
31639,360.0,bc_024,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
31659,360.0,bc_024,"['bc_024', 'bc_060', 'bc_092']",0.0,0.0,0.0,3.0,0.0,3.0,1
31662,1331.0,bc_009-bc_048,"['bc_009', 'bc_048', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31698,648.0,bc_009,['bc_009'],0.0,0.0,0.0,0.0,0.0,0.0,0
31723,1357.0,bc_010-bc_024-bc_031-bc_066-bc_087,"['bc_010', 'bc_024', 'bc_031', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
31734,72.0,bc_001-bc_029-bc_031-bc_087,"['bc_001', 'bc_024', 'bc_029', 'bc_031', 'bc_087']",0.0,0.0,0.0,1.0,0.0,1.0,1
31744,722.0,bc_004-bc_009-bc_041,"['bc_004', 'bc_009', 'bc_041', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
31763,648.0,bc_009,"['bc_009', 'bc_024', 'bc_048', 'bc_060']",0.0,1.0,0.0,1.0,0.0,2.0,2
31770,648.0,bc_009,"['bc_004', 'bc_009', 'bc_022', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31778,324.0,bc_048-bc_060,"['bc_031', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
31785,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
31796,465.0,bc_004-bc_024-bc_041-bc_048,"['bc_004', 'bc_010', 'bc_024', 'bc_041', 'bc_048', 'bc_060', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31803,360.0,bc_024,"['bc_024', 'bc_067']",0.0,0.0,0.0,0.0,0.0,0.0,0
31822,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
31847,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
31883,539.0,bc_010-bc_048-bc_066,"['bc_006', 'bc_010', 'bc_024', 'bc_048', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
31887,360.0,bc_024,"['bc_024', 'bc_040']",0.0,6.0,0.0,1.0,1.0,8.0,3
31889,360.0,bc_024,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
31890,360.0,bc_024,"['bc_009', 'bc_024']",0.0,0.0,0.0,0.0,0.0,0.0,0
31893,360.0,bc_024,['bc_024'],0.0,0.0,1.0,0.0,1.0,2.0,2
31906,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041']",0.0,0.0,0.0,0.0,0.0,0.0,0
31911,822.0,bc_009-bc_024,"['bc_009', 'bc_024', 'bc_063']",0.0,0.0,0.0,0.0,0.0,0.0,0
31949,,,[],0.0,0.0,0.0,0.0,0.0,0.0,0
31969,360.0,bc_024,['bc_024'],0.0,0.0,1.0,0.0,0.0,1.0,1
32001,360.0,bc_024,"['bc_009', 'bc_024', 'bc_048']",0.0,1.0,0.0,0.0,2.0,3.0,2
32009,909.0,bc_010-bc_022-bc_066,"['bc_010', 'bc_022', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
32011,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
32017,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
32018,360.0,bc_024,"['bc_004', 'bc_024', 'bc_041']",0.0,0.0,0.0,1.0,0.0,1.0,1
32024,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_024', 'bc_041', 'bc_048', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
32030,360.0,bc_024,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
32043,,,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
32058,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041']",0.0,0.0,0.0,0.0,0.0,0.0,0
32131,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_024', 'bc_048', 'bc_060']",0.0,1.0,0.0,0.0,0.0,1.0,1
32134,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32142,20.0,bc_004-bc_041-bc_077,"['bc_004', 'bc_041', 'bc_077', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
32154,315.0,bc_024-bc_040-bc_092,"['bc_009', 'bc_024', 'bc_040', 'bc_092']",2.0,3.0,0.0,4.0,1.0,10.0,4
32159,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32184,919.0,bc_004-bc_041-bc_048-bc_060,"['bc_004', 'bc_041', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32191,722.0,bc_004-bc_009-bc_041,"['bc_001', 'bc_004', 'bc_009', 'bc_041', 'bc_060', 'bc_077']",0.0,0.0,0.0,0.0,0.0,0.0,0
32206,360.0,bc_024,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
32246,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32253,196.0,bc_009-bc_048-bc_060,"['bc_004', 'bc_009', 'bc_041', 'bc_048', 'bc_060']",0.0,1.0,1.0,1.0,0.0,3.0,3
32254,72.0,bc_001-bc_029-bc_031-bc_087,"['bc_001', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
32261,1330.0,bc_006-bc_010-bc_066-bc_087,"['bc_004', 'bc_006', 'bc_010', 'bc_048', 'bc_066', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
32268,324.0,bc_048-bc_060,"['bc_048', 'bc_060', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
32276,324.0,bc_048-bc_060,"['bc_004', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32281,429.0,bc_004-bc_041-bc_066,"['bc_004', 'bc_041', 'bc_066']",0.0,0.0,0.0,0.0,0.0,0.0,0
32292,1650.0,bc_001-bc_029-bc_031-bc_048-bc_060,"['bc_001', 'bc_029', 'bc_031', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32314,648.0,bc_009,"['bc_009', 'bc_024']",0.0,0.0,0.0,0.0,0.0,0.0,0
32362,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,1.0,0.0,2.0,1.0,4.0,3
32370,196.0,bc_009-bc_048-bc_060,"['bc_009', 'bc_048', 'bc_060']",1.0,1.0,0.0,0.0,0.0,2.0,2
32391,324.0,bc_048-bc_060,"['bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
32425,822.0,bc_009-bc_024,"['bc_009', 'bc_024']",0.0,0.0,0.0,0.0,0.0,0.0,0
32434,308.0,bc_001-bc_031-bc_048-bc_060-bc_087,"['bc_001', 'bc_031', 'bc_048', 'bc_060', 'bc_087']",0.0,0.0,0.0,0.0,0.0,0.0,0
32445,360.0,bc_024,['bc_024'],0.0,0.0,0.0,0.0,0.0,0.0,0
32448,2827.0,bc_009-bc_048-bc_087,"['bc_009', 'bc_048', 'bc_067', 'bc_077', 'bc_087']",0.0,0.0,0.0,0.0,1.0,1.0,1
32472,360.0,bc_024,"['bc_004', 'bc_024']",0.0,0.0,0.0,0.0,0.0,0.0,0
32478,324.0,bc_048-bc_060,"['bc_040', 'bc_048', 'bc_060']",0.0,5.0,2.0,1.0,0.0,8.0,3
32488,324.0,bc_048-bc_060,"['bc_009', 'bc_048', 'bc_060']",0.0,2.0,0.0,2.0,0.0,4.0,2
32527,165.0,bc_024-bc_048-bc_060,"['bc_024', 'bc_048', 'bc_060']",0.0,1.0,1.0,0.0,2.0,4.0,3
32566,324.0,bc_048-bc_060,"['bc_004', 'bc_048', 'bc_060']",0.0,0.0,1.0,0.0,1.0,2.0,2
32595,648.0,bc_009,"['bc_009', 'bc_048', 'bc_060']",0.0,0.0,0.0,0.0,0.0,0.0,0
