object_id,FIRST_PASS_CONTAINS_BARCODES,First pass notes,SECOND_PASS_CONTAINS_NO_EXTRA_BARCODES,second pass notes,bc_cluster,bc_cluster_bc_names,called_barcodes,bc_016,bc_040,bc_052,bc_092,bc_093,cluster_bc_count,nonzero_cluster_bc_count
33990,POSSIBLE ,"NO 16, LOW 92",TRUE,POSSIBLE EXTRA,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_004', 'bc_009', 'bc_040', 'bc_048', 'bc_052', 'bc_093']",0,40,33,1,50,124,4
34002,FALSE,NEIGHBOR,FALSE,,165,bc_024-bc_048-bc_060,"['bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060']",0,3,6,0,2,11,3
34043,FALSE,,TRUE,,355,bc_040-bc_048-bc_052-bc_060-bc_092-bc_093,"['bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",0,9,4,5,4,22,4
34059,POSSIBLE,LOW 92,TRUE,,194,bc_040-bc_052-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_052', 'bc_093']",3,16,19,0,6,44,4
34121,TRUE,,FALSE,,20,bc_004-bc_041-bc_077,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_077', 'bc_093']",2,8,5,1,7,23,5
34141,TRUE,,FALSE,POSSIBLE EXTRA,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_009', 'bc_016', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",4,15,12,9,11,51,5
34142,POSSIBLE,LOW 93,FALSE,,194,bc_040-bc_052-bc_093,"['bc_040', 'bc_052']",2,14,8,0,1,25,4
34151,FALSE,NEIGHBOR,FALSE,,2848,bc_004-bc_024-bc_040-bc_041-bc_052-bc_093,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_052', 'bc_093']",1,5,3,0,3,12,4
34160,POSSIBLE,,FALSE,POSSIBLE EXTRA,898,bc_016-bc_040-bc_093,"['bc_016', 'bc_024', 'bc_035', 'bc_040', 'bc_048', 'bc_087']",6,21,1,2,1,31,5
34184,TRUE,,POSSIBLE,SEGMENTATION ERROR?,355,bc_040-bc_048-bc_052-bc_060-bc_092-bc_093,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_092', 'bc_093']",0,18,7,6,25,56,4
34203,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_004', 'bc_024', 'bc_040', 'bc_052', 'bc_092', 'bc_093']",2,16,15,23,24,80,5
34336,FALSE,NEIGHBOR,FALSE,,648,bc_009,"['bc_009', 'bc_040', 'bc_052']",1,8,4,0,0,13,3
34547,FALSE,NO 52,TRUE,,132,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_092', 'bc_093']",4,13,0,7,4,28,4
34627,FALSE,NO 52,TRUE,,132,bc_040-bc_092,"['bc_016', 'bc_024', 'bc_040', 'bc_048', 'bc_092', 'bc_093']",3,24,0,13,7,47,4
34764,TRUE,,FALSE,,2642,bc_024-bc_040-bc_052-bc_092-bc_093,"['bc_024', 'bc_040', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",1,5,5,5,9,25,5
34772,TRUE,,TRUE,,31,bc_016-bc_040-bc_052-bc_092-bc_093,"['bc_040', 'bc_052', 'bc_092', 'bc_093']",0,6,3,3,6,18,4
34806,TRUE,,FALSE,,811,bc_004-bc_040-bc_041-bc_052-bc_092-bc_093,"['bc_004', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_092', 'bc_093']",0,10,7,13,15,45,4
34866,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_040', 'bc_092']",1,12,0,6,0,19,3
34872,TRUE,,POSSIBLE,LIKELY TRUE,1096,bc_004-bc_040-bc_041-bc_048-bc_052-bc_092-bc_093,"['bc_001', 'bc_004', 'bc_016', 'bc_040', 'bc_041', 'bc_048', 'bc_052', 'bc_060', 'bc_087', 'bc_092', 'bc_093']",4,16,23,12,24,79,5
35056,FALSE,NEIGHBOR,FALSE,,304,bc_024-bc_039-bc_040-bc_052-bc_093,"['bc_024', 'bc_039', 'bc_040', 'bc_052', 'bc_093']",1,5,8,1,12,27,5
35497,FALSE,"SEEMS LIKE 40, 92",FALSE,EXTRA BARCODE,132,bc_040-bc_092,"['bc_016', 'bc_040', 'bc_048', 'bc_092']",5,23,2,14,0,44,4
35566,FALSE,"SEEMS LIKE 40, 92",FALSE,,612,bc_024-bc_040-bc_092,"['bc_004', 'bc_024', 'bc_040', 'bc_041', 'bc_048', 'bc_092']",0,13,2,11,1,27,4
35642,FALSE,"SEEMS LIKE 40, 92",TRUE,,132,bc_040-bc_092,"['bc_024', 'bc_040', 'bc_052', 'bc_060', 'bc_085', 'bc_087', 'bc_092']",2,20,9,13,1,45,5
35664,FALSE,"SEEMS LIKE 40, 92",FALSE,,1950,bc_024-bc_029-bc_031-bc_040-bc_085-bc_087,"['bc_001', 'bc_024', 'bc_029', 'bc_031', 'bc_040', 'bc_052', 'bc_059', 'bc_085', 'bc_087']",1,7,3,1,0,12,4
,,,,,,,,,,,,,,
,bc_093,,,,,,,,,,,,,
,bc_092,,,,,,,,,,,,,
,bc_052,,,,,,,,,,,,,
,bc_040,,,,,,,,,,,,,
,bc_016,,,,,,,,,,,,,
